group	factor	Archaea_Blood	Bacteria_Blood	Fungi_Blood	Human_Blood	Protozoa_Blood	Viral_Blood
EoE	Factor1	8.116871909047418e-5	0.25195568809724955	92.57536510697452	0.5133199132046351	67.65819049219282	0.008641692941735446
EoE	Factor2	5.367816169332684e-6	-1.1004704172368207e-4	-9.470353301566092e-6	0.017319881456945296	0.02503734345629116	-0.35624999806038726
EoE	Factor3	-1.1179911418857102e-5	2.0057960741226566e-4	2.069402705862089e-5	0.008856169014703763	-0.9377215567347719	0.002935514286894758
EoE	Factor4	3.51308624413349e-6	0.03232576754591543	-0.10527524572898628	0.3168496884856986	-0.29851447589002156	0.49731470982220527
EoE	Factor5	1.985625381895062e-5	0.2186460362120335	-10.232501571004393	0.30772467700028727	-20.507078491362307	0.003747496464301392
IBD	Factor1	0.060878092169502906	0.31787081439691445	-9.755124188000819	2.962892380923565	-24.028522208471227	-0.002343527108683574
IBD	Factor2	1.3966168554979674e-6	0.001160269930022828	-1.0470205724644188e-5	0.07016358237125209	0.08564251320040128	17.917938401449973
IBD	Factor3	-2.1005093442383327e-6	1.6817141422764692e-4	1.6386509260613025e-6	0.04394927679994831	8.939923725427324	0.001957627046478283
IBD	Factor4	7.899686127466055e-7	0.05883643820040474	0.03965696632562965	0.25296648923194276	2.331848830668637	-0.263718971507787
IBD	Factor5	-8.615272717449329e-7	1.0784284148268042	3.5011107442319944	0.5197798128429243	25.525843378789602	-0.0059343941645861875
