group	factor	Human transcriptome
Esophagus_fibroblasts_EoE	Factor1	0.256354703172168
Esophagus_fibroblasts_EoE	Factor2	1.290668901815406
Esophagus_fibroblasts_EoE	Factor3	0.3876248166346463
Esophagus_fibroblasts_EoE	Factor4	0.27225801137407135
Esophagus_fibroblasts_EoE	Factor5	0.007702438336576467
Esophagus_GERD	Factor1	3.6814675099200223
Esophagus_GERD	Factor2	0.06428540710136099
Esophagus_GERD	Factor3	0.035081556060134744
Esophagus_GERD	Factor4	0.008063602815255866
Esophagus_GERD	Factor5	0.015255897715660272
