source	target	n
0	18	9
1	18	127
1	21	75
2	18	10
2	19	10
3	18	9
3	21	19
4	18	6
5	18	8
5	21	10
6	19	12
7	21	101
8	18	12
9	18	2
9	19	10
9	20	8
10	21	24
11	18	15
11	21	80
12	19	30
13	18	6
13	19	6
13	20	6
14	18	6
15	18	6
15	19	10
16	18	8
16	21	20
17	18	12
17	21	3
0	23	9
1	22	202
2	23	20
3	22	28
4	22	6
5	22	18
6	23	12
7	22	101
8	22	12
9	22	10
9	23	10
10	22	24
11	22	95
12	22	30
13	23	18
14	23	6
15	23	16
16	22	28
17	22	15
0	24	9
1	24	202
2	24	20
3	25	28
4	24	6
5	24	18
6	24	12
7	24	101
8	25	12
9	25	20
10	25	24
11	24	95
12	25	30
13	25	18
14	25	6
15	25	16
16	25	28
17	24	15
18	22	198
18	23	38
19	22	35
19	23	43
20	22	4
20	23	10
21	22	332
18	25	49
18	24	187
19	25	56
19	24	22
20	25	14
21	25	63
21	24	269
22	25	132
22	24	437
23	25	50
23	24	41
